planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,0,C.C,https://www.google.com/maps/contrib/108239609866149553743/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWdmRNAvjY5Qw4qF5OD1167VqXBZPWmhJ6Y1SKmp2uEdooVLmuk=s128-c0x00000000-cc-rp-mo-ba3,5,2 months ago,1777268707,"We are very happy with student care service provided by Edufirst Learning Centre. The teachers are kind, patient, and caring. My daughter feels safe and comfortable here.

Especially during P1, my daughter was still new and not familiar with school life.  She needed more guidance and time to adjust. Tr Huiling took very good care of her and patiently guided her through homework, school rules and gave her encouragement, which helped her to feel more confident.

The center is well arranged with many activities for the students. Even during the school holidays, there are excursions and activities planned so the students stay active, happy and motivated while learning.

We really appreciate the effort and care from the teachers. Thank you for creating a positive and supportive place for the children."
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,1,Angelina An,https://www.google.com/maps/contrib/115272583131855017630/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVOT8z5wEFeqn55JNReXDCVBJQR7KBUcYCgX4cnm87AP5AsSqtL=s128-c0x00000000-cc-rp-mo,5,2 months ago,1778240391,"My child has joined the student care this year and I'm glad I had chosen Edufirst. The teachers here are diligent and responsible, especially teacher Huiling, who provides strong academic support and daily feedback. She monitors my child’s school homework closely and ensure that spelling revision is done thoroughly every week. Beyond the academics, you can tell the teachers truly care about the well-being of the students. It gives me great peace of mind knowing my child is in such caring hands while I’m at work."
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,2,Kah Ying,https://www.google.com/maps/contrib/106787752556363690946/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI2xvWWNSK3gG5DhosT8GmZs7w6Z0w2j7FRkGLlaeGsBcqj8A=s128-c0x00000000-cc-rp-mo-ba2,5,2 months ago,1777389291,"Really glad to have enrolled my P1 kid into Edufirst as he’s happy and adapting well in the centre. Staff and teachers were caring towards him. Would like to thank all the staff and teachers for their patience and guidance, esp Tr Huiling, who’s in-charge of his class. She would ensure that the children complete their school work properly as it’s the centre’s top priority. After which, children may proceed with other learning activities or outdoor activities. Highly recommend this centre to any parent looking for student care in Punggol area!"
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,3,Li Qian Tan,https://www.google.com/maps/contrib/112345197893952616945/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJ7CTJMEVJeFR9DMfcMIvbC8xEdgD4NlGAyeDP5he7EZrFk4w=s128-c0x00000000-cc-rp-mo,5,2 months ago,1777604017,"We’re truly grateful to have found this student care for our daughter who is currently in P1 class. Teachers and staff are friendly and approachable. Thank you for creating such a supportive environment, guiding the children patiently with their homework, and always keeping us updated on their progress and school matters. Your commitment and initiative mean a lot to busy working parents like us and make a real difference in our child’s growth. Truly thankful for their care and dedication. Much appreciated! 💛"
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,4,Donavan Seah,https://www.google.com/maps/contrib/100360607261006924353/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVYxcdiliW8WTHqblMHbY2f7ugasY2ZrpfDvRcFiYw3Td71JNEL=s128-c0x00000000-cc-rp-mo,5,8 months ago,1761698293,"I’m very thankful to the student care for providing a caring and supportive environment for the children. I would also like to express my sincere appreciation to Teacher Hui Ling for her dedication and patience in guiding my son with his after-school studies. With her encouragement, I’ve seen an improvement in his learning attitude and confidence. She also provides timely feedback to parents and works closely with us to help him improve further.

Overall, I’m happy with the support provided by the student care and the teachers. There is still some room for improvement in certain areas, but I can see the effort and commitment from the team to continuously do better. Thank you for all your hard work in creating a positive and nurturing environment for the students!"
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,0,Madiha,https://www.google.com/maps/contrib/114242387135977753283/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIHCPM5GgKJCH7JgvWv5_MxW13ltPSTlow5LjKKBTnXZqmj6g=s128-c0x00000000-cc-rp-mo-ba5,3,a month ago,1779948931,"Decent spot for variety, but not for those craving familiar Pakistani flavours
Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with plenty of options and a nice atmosphere, especially in the evening when the streets are closed off for dining.
We tried the halal stall and ordered chicken rice noodles, chicken basil vegetables, and tea tree something. While the portions were generous and the service was quick, the overall taste was quite different from what we expected. Everything had a strong seafood-like flavour profile (even the non-seafood items), which didn’t really appeal to us as I can’t stand sea food smell. It felt quite far from Pakistani taste preferences – the spices, seasoning, and balance were very different.
If you’re in the mood to explore local Singaporean or Southeast Asian hawker food and try new things, Lau Pa Sat is a great place with lots of variety. However, if you’re particular about your food and want something closer to Pakistani cuisine, this might not be the best choice.
Cleanliness was just fine for a busy hawker centre, and the pricing was reasonable. Good for tourists or casual explorers, but we probably won’t rush back."
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,1,Franco Migliorati,https://www.google.com/maps/contrib/100371330244756270290/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVkZnEeD-A71-8sTYTmOmEFkth5fm4r4G3NJjaT8fP8fl_T-hUoqw=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772028535,"fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singaporean, etc. There's something for everyone. Good ventilation and plenty of tables but the place is always packed and noisy (it doesn't take away the enjoyment). A must to visit."
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,2,Piotr Treter,https://www.google.com/maps/contrib/100672490460451924508/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJkJ1CdwVAoUWZNkGU0R51jueMxWq-vHoYNtIjkipXTuJWEGQ=s128-c0x00000000-cc-rp-mo-ba5,5,5 months ago,1770210422,"There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everything is perfectly seasoned, with plenty to choose from, so everyone should easily find something to their liking. And the prices are very affordable by Singaporean standards."
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,3,Trang Nguyen,https://www.google.com/maps/contrib/111561150280467194373/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIHfsPshQW972d4yzKstFPDDgwG_sd38rfo75jAycL5Vg_tpOk=s128-c0x00000000-cc-rp-mo-ba4,5,3 months ago,1774788514,"Lau Pa Sat: A must-visit for the lively night vibe!

I visited at 9 PM on a Friday, and it was absolutely crowded! The energy outside on Satay Street was incredible, with everyone enjoying grilled food in the open air. Inside the historic building, there are plenty of food stalls to choose from.

The Drinks:
One thing to watch out for is that there are very few drink stalls, so the lines are very long. I bought an Iced Mango Peach ($2.80), but I wouldn't recommend it. It was extremely sweet and didn't contain any fresh fruit—it tasted mostly like syrup. I suggest skipping the ""juices"" here if you want something fresh.

The Food & Service:
I tried the Thunder Tea Rice ($6.20). It was okay, though it didn't quite fit my personal taste. After eating, the service is efficient; you can either clear your own tray or wait for the staff who come by frequently to collect them.

The Verdict:
It is very crowded and noisy with loud music, but it’s a ""must-visit"" to experience the local Singaporean vibe. Just be prepared for the crowds!"
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,4,herdarksecret,https://www.google.com/maps/contrib/103152694342316321576/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocL8Ep70MYF7RNmwysbNL0OHYX1-zaj0q1g6xVF2FEIRfrvVYg=s128-c0x00000000-cc-rp-mo-ba4,5,2 months ago,1777028043,"Tried Na Na Curry at Lau Pa Sat because saw that they are awarded Michelin Bib Gourmand 10 years in a row!

Their chicken curry is rich, slightly creamy, and super comforting. The spices are well-balanced, not too heavy but still very satisfying.

The chicken is tender and soaks up the curry nicely, making every bite flavourful. Pairs really well with both the rice and roti prata!"
North-Eastern Islands,North-Eastern Islands,transport,public transport MRT LRT bus stops,ChIJHSFoU_ka2jER1hxgW5i82tQ,Kent Ridge Ter,4.1,86,0,Wild fox,https://www.google.com/maps/contrib/117527544304447507042/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLYbIoGqjVzCunlt-r85HhrV5EmRE8HV9u7IKUEAGGSbpXAvg=s128-c0x00000000-cc-rp-mo-ba5,5,3 years ago,1674710375,NUS shuttle buses stop here. Many other SBS transit and SMRt buses stop here as well.
North-Eastern Islands,North-Eastern Islands,transport,public transport MRT LRT bus stops,ChIJHSFoU_ka2jER1hxgW5i82tQ,Kent Ridge Ter,4.1,86,1,David Wu,https://www.google.com/maps/contrib/115677606086217220324/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKSbs0B1mCXD9L-NC4LVzD6pgyo9C0HhFcOXiSUWZbIg2VHTw=s128-c0x00000000-cc-rp-mo-ba5,4,a year ago,1735620161,Excellent bus transit with clean toilet.  Next to NUS.
North-Eastern Islands,North-Eastern Islands,transport,public transport MRT LRT bus stops,ChIJHSFoU_ka2jER1hxgW5i82tQ,Kent Ridge Ter,4.1,86,2,ATL T,https://www.google.com/maps/contrib/100994464112605528590/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLpoTVMrPf4vyYQd8u6uJEH0o8z_LlCU7W5Z55VvxuZD01gLQ=s128-c0x00000000-cc-rp-mo-ba5,3,7 years ago,1534555409,"Very small sbs bus terminal. With shade and public toilet here

Bus 10 goes to vivo city, harbourfront and raffles place.

Bus 33 goes to redhill mrt"
North-Eastern Islands,North-Eastern Islands,transport,public transport MRT LRT bus stops,ChIJHSFoU_ka2jER1hxgW5i82tQ,Kent Ridge Ter,4.1,86,3,Michelle Yeoh,https://www.google.com/maps/contrib/117223891734424870330/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVPcy-l5gMvkPp9YT8LWOWiE-RwX4NCZl648Iu-ZeLrBx5mAiYd=s128-c0x00000000-cc-rp-mo-ba5,5,a year ago,1730950783,"The KR and several of the NUS busses run here. It is located near NUS as well as three hotels, namely Ibis, Fragrance and Quay. The West Coast Park is nearby. Download the bus app to accurately plan your journey."
North-Eastern Islands,North-Eastern Islands,transport,public transport MRT LRT bus stops,ChIJHSFoU_ka2jER1hxgW5i82tQ,Kent Ridge Ter,4.1,86,4,Breathe Easy Solutions,https://www.google.com/maps/contrib/102819446304034201414/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUhgXk89Z3n6IvrdDYVz0iRwfBcdkWO7eD-ZYMJ9qqBe0pLap1a=s128-c0x00000000-cc-rp-mo,1,a year ago,1746755741,Bus 201 takes 16-20 minutes to come. Please fix this. U make people late for work alot.
North-Eastern Islands,North-Eastern Islands,recreation,recreation sports gyms swimming community clubs,ChIJRQBn6loY2jERjqNd6Z0qL1k,Singapore Swimming Club,4.4,1202,0,Anvar Khayretdinov,https://www.google.com/maps/contrib/107340747339991420753/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIBPn8rRJGbzu8OjeAHbyH58eok4I9lK-TgHg0jR3fLDcqKyg=s128-c0x00000000-cc-rp-mo-ba2,1,2 months ago,1777108798,Staff is just ignoring you. Asked for a menu at the bar two times - the lady said “give me a minute” and never came back. And it’s not because they’re super busy - they just don’t care. This is simply disrespectful
North-Eastern Islands,North-Eastern Islands,recreation,recreation sports gyms swimming community clubs,ChIJRQBn6loY2jERjqNd6Z0qL1k,Singapore Swimming Club,4.4,1202,1,Aven T.,https://www.google.com/maps/contrib/103431426074515746200/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUQDTcgy5I_tJPknhDUNHTQcZDBCd-lq2t6zAfQF60l2zoDGMLrSw=s128-c0x00000000-cc-rp-mo-ba6,4,a year ago,1752067592,Restaurant have several hit and miss cuisines but the most recent visit had me trying the fish and fries. It was really good and affordable. The fish was not overly battered and there were thick flakes of fish within that is light and fluffy!
North-Eastern Islands,North-Eastern Islands,recreation,recreation sports gyms swimming community clubs,ChIJRQBn6loY2jERjqNd6Z0qL1k,Singapore Swimming Club,4.4,1202,2,Rajnish Arora,https://www.google.com/maps/contrib/107539308150851646611/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLpiOsEFITiifsfr2BK618zvUDvYZicCtwdSuIhqUm4s7DPpw=s128-c0x00000000-cc-rp-mo,3,a month ago,1779507573,"Singapore Swimming Club has a great selection of Indian food and have always enjoyed the food, especially someone who is very discerning. Having said that, off late the quality of paneer dishes seems to be off. The paneer tikka is no longer soft, creamy and flavourful. I think they may have changed their supplier or switched to using frozen paneer. The management should look into it and bring back the original quality paneer."
North-Eastern Islands,North-Eastern Islands,recreation,recreation sports gyms swimming community clubs,ChIJRQBn6loY2jERjqNd6Z0qL1k,Singapore Swimming Club,4.4,1202,3,Ashley Liew,https://www.google.com/maps/contrib/115333748318871707993/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVddwioWn2vIWseGeLcQUEr7x5FpokOuwMgLuTFOfWDIXAE46A=s128-c0x00000000-cc-rp-mo-ba8,5,a year ago,1746183704,"Been coming here for years since I’ve been a kid. Always love how homely and family-friendly this place is. The eateries are fantastic, especially the cafe and Chinese restaurant. The club sports facilities are excellent, I’ve used the pool, tennis courts, bowling alley, and gym before. With the Katong Park station almost ready nearby, it will become even more accessible."
North-Eastern Islands,North-Eastern Islands,recreation,recreation sports gyms swimming community clubs,ChIJRQBn6loY2jERjqNd6Z0qL1k,Singapore Swimming Club,4.4,1202,4,Chong Evon,https://www.google.com/maps/contrib/104133007521280423603/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWnm-dZKbU5_C0DFErcniHOnz5i3buxvAwkGDCW5x3-xGcvLKEU=s128-c0x00000000-cc-rp-mo-ba5,4,2 years ago,1716478413,"Went there for the second time as my aunt is their member. The first round tried their lunch buffet. Decent taste in many varieties. This round tried their fried hokkien mee. The taste was perfect, the portion was big. But wait for my local coffee for a long time. This really needs to improve"
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJV8XBQ8A82jERZE3PGgh94PQ,Learning Vision Changi Airport (Terminal 3),5.0,132,0,Eques,https://www.google.com/maps/contrib/100252716116533782282/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXgNICo2R73Wp9G70vVhIH2ZpxLxZ9A6YfjPEgQyER8RMVwbjmO=s128-c0x00000000-cc-rp-mo,5,8 months ago,1762570743,"As our triplets celebrate this important milestone, we want to take a moment to express our deepest gratitude to all the teachers who have guided, inspired, and nurtured them along the way.

Your patience, dedication, and kindness have shaped not only their minds but also their hearts. You have been more than educators — you’ve been mentors, cheerleaders, and role models. The lessons you’ve taught extend far beyond the classroom and will stay with them for life.

Thank you for believing in our children, for helping them grow with confidence, and for making learning such a joyful journey. This graduation is not just their achievement — it’s yours too."
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJV8XBQ8A82jERZE3PGgh94PQ,Learning Vision Changi Airport (Terminal 3),5.0,132,1,Jocelyne Chia,https://www.google.com/maps/contrib/106770250780134309983/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVwVAXtcbl9vsa-uku6hGPmb1CAdbfwe3Riq21VAPNSYrIx0v6ODw=s128-c0x00000000-cc-rp-mo-ba2,5,8 months ago,1762788904,"I would like to express my heartfelt gratitude and appreciation to you and the entire team at Learning Vision at Changi Airport. Having been part of this school community for the past nine years, through four of my children’s graduations, I have witnessed firsthand the incredible care, dedication, and growth of this institution.
The teachers are not just educators, but genuine, compassionate individuals who truly care about the children. They have always gone above and beyond to create a nurturing and supportive environment. Over the years, I have felt like part of a family—a team that has always been there for both my children and me. I truly believe that the strong, positive relationships between the staff and families are one of the school’s greatest strengths.
Through the many phases of our journey together, from navigating the challenges of COVID-19 to embracing changes in daily routines and curriculum, I have seen the school continuously adapt and improve. The commitment to refining the curriculum and being open to feedback speaks volumes about the school’s dedication to providing the best possible education and experience for its students.
It is with immense pride and gratitude that I can say my child has graduated from Learning Vision at Changi Airport—and I am equally proud to have been part of this wonderful school community for so many years. Thank you for your unwavering support, your genuine care, and your continued efforts to ensure that each child thrives in a safe, enriching environment. You have made a lasting impact on our family, and we are truly grateful.

Love to all teachers - from the J’s and the K’s ❤️😊"
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJV8XBQ8A82jERZE3PGgh94PQ,Learning Vision Changi Airport (Terminal 3),5.0,132,2,hayley lee,https://www.google.com/maps/contrib/109530254314539353032/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocL7exAoHe0MvUHLpvjEnbXEAtnUJGzJ4WzQtQJ5P7GDUMMVVg=s128-c0x00000000-cc-rp-mo-ba3,5,8 months ago,1762765287,"We’ve had such a wonderful experience with Learning Vision @ Changi Airport! The teachers are incredibly caring and patience. always taking the time to understand each child’s needs and personality. The environment is very conducive for learning — bright, clean, and filled with engaging activities that make children excited to go to school every day.
I also really appreciate that the centre organizes many events involving both parents and teachers, which gives us a better understanding of what our children are learning and how they’re developing. It truly feels like a partnership in helping our little ones grow.
Highly recommended for parents looking for a nurturing and enriching preschool experience!"
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJV8XBQ8A82jERZE3PGgh94PQ,Learning Vision Changi Airport (Terminal 3),5.0,132,3,Nadhrah M.,https://www.google.com/maps/contrib/102555863678441727300/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXWu0wTjlTgstyorjCiQh8cyOhrZfIkrZ4DfB-JYfCan8-iuUC5-A=s128-c0x00000000-cc-rp-mo,5,8 months ago,1762797436,"We heard so much about this school and how good it is so when our daughter was 8 months old we quickly registered her for Playgroup. Now 2 kids later, we never regretted our decision. We love their curriculum and inclusivity and will always recommend LV to our friends and family."
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJV8XBQ8A82jERZE3PGgh94PQ,Learning Vision Changi Airport (Terminal 3),5.0,132,4,Yongkang Lin,https://www.google.com/maps/contrib/104948284477859414276/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXtzawYPUsPmn7GQsGqmyKAuILnhbIJOYHK_ECFvXhkIzLJ2CIR=s128-c0x00000000-cc-rp-mo-ba2,5,8 months ago,1762766107,Learning Vision provides a nurturing environment where children can explore and grow. The educators are dedicated and create engaging activities that stimulate young minds. It's wonderful to see the children develop social skills and a love for learning in such a positive setting. The facilities are well-maintained and designed to ensure the safety and comfort of all the little ones. We are very pleased with the quality of care and education offered at this child care centre.
North-Eastern Islands,North-Eastern Islands,shopping,shopping groceries malls supermarkets markets,ChIJZ1omp8gZ2jERgDUAb_hBKLY,City Square Mall,4.3,22861,0,Collin Ng,https://www.google.com/maps/contrib/100358502333657729087/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVUUM4t1u-Mcb07-wUEAFB0PDMRzRQBUjByoXSUdGYx1cxNNV9-=s128-c0x00000000-cc-rp-mo-ba6,4,a month ago,1779525388,"Refurbished recently. Some nice deco outside but not much has changed.
The net playground is still there, which is a good thing and a unique attraction to this mall."
North-Eastern Islands,North-Eastern Islands,shopping,shopping groceries malls supermarkets markets,ChIJZ1omp8gZ2jERgDUAb_hBKLY,City Square Mall,4.3,22861,1,Florence Leow,https://www.google.com/maps/contrib/102656561598060120185/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWWAO5NDzda0lWfeRJhWD1zQtDlUm5XL-zVuqnQGNv9Rilxc3M7=s128-c0x00000000-cc-rp-mo-ba8,5,3 months ago,1774383646,"🟠 City Square Mall
180 Kitchener Road
Singapore 208539

🟣 Location =  🟣 the mall is located at the junction of Serangoon Road and Kitchener Road.

🟣 It is directly connected to the Farrer Park MRT station via B1 level passage-way.
______________________________________________
⬛️  Historical Context: The mall actually sits on the former site of the New World Amusement Park, which was a famous landmark in the Jalan Besar area for decades.

⬛️  When I was a child in the early 1970s, my late Peranakan father used to bring me to New World to jalan jalan.
________________________________________________
🟠 The mall had undergone a SGD50 million massive revamp from September 2023 to early 2026.

🟠  The revamp added 26,000 sq ft of space, featuring a new 24,000 sq ft ""Gastro Square"" Level 4 dining area, new playgrounds, and classy luxurious interior upgrades.

🟨 The perimeters ( outside stretch of the mall)
*************************************************
🟨  There is a small verdant green park at the back of the mall, where a decomissioned MRT train cabin sits. ▪︎It is a hub for educational purposes.

🟨 There is also a small Merry-Go-Round & a Tea Cup Spinning Ride, reminiscent of the rides I used to enjoy in the 1970s.

🟩 For the interior of the mall itself
************************************
➡️ Below Info ➡️  is from the lift directory panel.

🟩L1 = City Green

🟩 B1 = Underpass to MRT, Taxi Stand, Pick-Up & Drop-Off, Green Square/ NTUC Fairprice/ Q&M Medical & Dental

🟩 B2=  ATM / Customer Service Counter/ Don Donki

🟩 B3=  Car Park + Food Square + Food Republic

🟩 B4= Car Park

⬛️ L9 To L6 = Schools & Offices  + Singapore Sustainability Academy (SSA)

⬛️ L5 = Discovery Square & Golden Village Cinema

⬛️ L4=  Gastro Square & CONNECT @ City Square Mall ( 🔴5 social service agencies)

⬛️ L 3 =  MST Golf Super Store

⬛️ L2 =  Decathlon & Uniqlo
________________________________________
🔴 Important info:
*******************
🔴 Level 4 features a CONNECT at City Square Mall, a dedicated community space comprising 5 ( five) social service agencies, affiliated with NCSS ( ▪︎National Council of Social Services), which itself is a statutory board under MSF.

🔴 MSF = Ministry of Social and Family Development.

🔴 The five agencies on Level 4 are
**************************************
● Counselling and Care Centre
● Kampong Kapor Community Services
● Singapore Children’s Society
● The Salvation Army

● Eagles Mediation & Counselling Centre ➡️ at B2 level

➖️ Dated 24 March 2026/ Tuesday."
